"optionid","cp_flag","total_return_pct","cumulative_gain","initial_value"
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.0590881546203974,-0.415005829999973,702.3502979
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.42813916736561,-2.43041569999986,567.66955356
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
45262148,"C",-0.965156046853295,-3.72112415772015,385.54637562
